Key,Text,split
1,Bilinyanya pol kare dongo maber ka lyeto tye,train
2,Ngom me pur i kare mukene obedo peko madit bot lupur,train
3,Lupur omyero ki konygi wek nong miti me puru mwanyi,train
4,Uganda tye ka keme ki lok me pur,train
5,jami apita mukene too woko pien pe ginongo ceng muromo,train
6,Kwene ma watwero nongo kodi maber ma two pe cubu dok cato yot?,train
7,Tyen gwana pol kare mite me apita,train
8,Poto man tye ki nyanya ma two obalo,train
9,Inongo lok ma lubbe ki biacara me cato layata ki kwene?,train
10,Redio stason omiyo ki wan yo me cato pot dek ma wa pure,train
11,Cim cing okonya oweko anongo lok ma lubbe ki kit me nongo yat akira i muranga,train
12,"Dwe mukato, abedo ki miti me nongo pwony i kom matunda",train
13,Lok ma lubbe ki biacara me labolo omyero kimi ki lupur weng,train
14,Lupur mito ngec i kom luwil madongo calo kampuni matye ki kodi nyanya ma rwome malo,train
15,Dukan mogo ma lupur nongo iye mocam ki kodi cam apita me rwom ma malo,train
16,Purogram me pur ma I rediyo miyo ngec ma lubbe ki kit me nongo kodi gwana,train
17,Tye kwayi gwana mapat pat ma twero dongo i kabedo meno,train
18,"Ka lupur onongo kwena con ma lubbe ki two ma balo cam ma i poto, ci konyo weko giyubbe con",train
19,Lupur twero nongo kony ma dit ka gunongo ngec me gengo onyo cango two ma balo jami ma i poto,train
20,"I ceng baraja weng, lupur nongo pwony ma lubbe ki diro me puru mwanyi",train
21,Lupur mito ngec ma lubbe ki alokaloka me piny wek guyubbe ma opore,train
22,Gang kal omiyo ki lupur ngec me puru gwana,train
23,Tye yub mapat pat me nyayo lim i cing lwak ma nongo i lok me pur,dev
24,Obedo ber tutwal ni dano weng ma i distrik obed ki poto,train
25,"Diro mogo ma gitiyo kwedgi I pur macalo kalo kin jami apita, doo, lweny i kom anyayi ki two",train
26,Lupur kiminigi kero me penyo lapeny mo keken ma lubbe ki lok me pur,train
27,Lupur kiminigi tam me pito wit cam mapat pat ma wile oyot,train
28,Tye yat akira mapat pat ma kicwako tic kwedgi me akira i muranga,train
29,Pur tye ki magoba madit tutwal bot lupur matye ki ngom manok,train
30,Puru wit cam mapat pat aye bikonyo laco cani,train
31,Wan wanongo ngec ki i redio pi kit me gwoko cam wek pe obale,train
32,"Ginongo ngec ma lubbe ki kare me pit, gwoko ngom ki puru cam ki bene kit me gwoko cam i nge kac",dev
33,Ngec ma lubbe ki pito nyig yadi macalo mucungu ki lemon gi ni medo ki pot dek obedo gin ma pire tek bot lupur,train
34,Ngec ma lubbe ki alokaloka me piny ki yubu poto me pur,train
35,Lok mogo ma kiketo i redio miyo ngec ma lubbe ki kwene ma lupur twero cato cam gi kun ginongo magoba madit,train
36,Purogram me pur ma kiketo i redio konyo lupur weko gingeyo kare mene me pito cam,train
37,"Lupur nongo ngec me pito kodi mabeco, ki bene two ango mayelo jami ma i poto",train
