Key,Text,split
1,pesa ngapi basi nilipe izo nyuzi za nywele za kijani ma sha allah nichore iko sawa kwangu waaah huoni kwamba umemchora uso nusu  we ni mbunifu kaka,train
10,aliyekuwa mbunge wa  laikipia kaskazini  mbunge matthew lempurkel amekamatwa nyumbani kwake ongata rongai na kazuiwa katika kituo cha  integrity  nairobi  wanasema hakuna sababu ya kukamtwa kwake,train
100,kunazi nyingi tu mbona kunazi na zambarau kaka sio kunazi na zambarau  kunashukiwa uvamizi wa maharamia huko shamba la laikipia magharibi  wamempiga risasi na kuacha mzee akiwamaiti na msichana akiwa majeruhi wa risasi polisi wanawaska washambuliaji,train
1000,bi msafwari  ndoa ni nzuri sana  ukiyasikiza ya wengine huenda ukaogopa lakini ndoa ni nzuri mke wa nyumbani aambiwe mambo yote yanayoendelea katika familia  sio kumficha,train
1001,mashambulizi ya moyale  familia zaidi ya mia moja  zatoroka kwao katika vjiji vya moyale mashambulizi ya juzi yasababisha wakazi kuishi na hofu kubwa wakazi wa funan qumbi  rawana  elidimtu na funan idha watoroka,train
1002,watu watoweka lamu  familia za watu waliotoweka katika hali tatanishi zafanya ibada lamu wakazi wasema mmoja wao alichukuliwa na watu waliojitambulisha kama wanajeshi wakazi wa lamu waitaka serikali kuwatafuta jamaa zao waliotoweka,train
1003,maiti yafukuliwa nyeri  maiti ya mzee wa miaka sabini yafukuliwa mwezi mmoja baada ya mazishi mzee huyo anadaiwa kuzikwa bila familia yake kujulishwa nyeri mama mmoja aliyekuwa akiishi naye miaka anadaiwa kumzika,test
1004,familia ya wakili willy kimani inalilia haki miaka mitatu baadaye maiti ya kimani  mteja wake na dereva ilipatikana oldonyo sabuk washukiwa ambao ni maafisa wa polisi wanazuiliwa jaji aliyekuwa akisikiza kesi hiyo jessie lessit amepandishwa cheo,train
1005,mwanamume atoweka lamu inadaiwa mtu huyo wa miaka thelathini na tano alitekwa nyara mkunumbi jamaa huyo hajaonekana kwa siku tatu sasa familia yake na mashirika ya kijamii zinaomba usaidizi,train
1006,buriani chris kirubi  mfanyibiashara azikwa nyumbani kwake kaunti ya murang'a  alifariki jumatatu iliyopita baada ya kuugua saratani kwa muda  familia yake imemtaja kuwa mtu aliyependa watu na maendeleo,train
1007,mpango wa uzazi asilimia kubwa ya wakazi wa pokot magharibi ni maskini hata hivyo familia nyingi zimekosa kushabikia mbinu za kupanga uzazi hali hiyo imewasababisha kushindwa kumudu gharama ya maisha,train
1008,mwanamke atoweka chania  familia moja katika mtaa wa chania kiambu inamtafuta jamaa yao mama huyo wa watoto wawili ameripotiwa kupotea mwezi uliopita alitoweka baada ya kumtembelea mumewe hospitalini akiuguza ugonjwa wa covid-19,train
1009,yuko wapi elizabeth nkatha  familia moja katika mtaa wa chania kiambu inamtafuta jamaa yao mama huyo wa watoto wawili ameripotiwa kupotea mwezi uliopita alitoweka baada ya kumtembelea mumewe hospitalini ku,train
101,roho mtakatifu itakusaidia ishi ndani yake amegundua  siku nyingine ama amekuwa akijua wakati wote huu na haja sema chochote miaka yote hiyo amekuwa wapi maskini nenda shule,train
1010,mwanamke atoweka chania  familia moja katika mtaa wa chania kiambu inamtafuta jamaa yao mama huyo wa watoto wawili ameripotiwa kupotea mwezi uliopita alitoweka baada ya kumtembelea mumewe hospitalini aliuguza covid-19,train
1011,unyakuzi wa kisiwa wasini  wakazi wa kisiwa cha wasini huko lungalunga wanadai unyakuzi wa ardhi hiyo ardhi hiyo ya ekari ishirini  inadaiwa kunyakuliwa na bwanyebwenye mmoja familia ziko kwenye hatari ya kufurushwa kutoka eneo hilo,train
1012,mauaji kimilili  mwanamke mfanyabiashara apatikana ameuwawa khamulati  bungoma familia yasema beatrice nasimiyu alibakwa kabla ya kuuwawa,train
1013,chris kirubi afariki  mfanyibiashara dkt chris kirubi ameaga dunia hii leo dkt kirubi alikuwa akiugua na amefariki akiwa na miaka themanini rais kenyatta  naibu rais na kinara wa odm wametuma rambirambi kwa familia,train
1014,malezi yalemea wazazi  familia iliyopata watoto watano kwa mpingo yalemewa na malezi mtoto mmoja alifariki  waliosalia pia hawapati lishe bora dauglus nyaoko na mkewe hupokezana zamu kuwaliwaza watoto,train
1015,kijiji kinachozama  familia katika kijiji cha mutongu  kaiti wanaishi na hofu  nyumba zao zimeanza kuzama ardhini kwa majuma kadhaa sasa  nyufa zimetokea ardhini kwenye mashamba ya familia hizi,train
1016,kalembe aenziwa familia iliandaa misa ya wafu jana eneo la syokimau kalembe aliyefariki wiki jana atazikwa siku ya ijumaa,dev
1017,kalembe aenziwa familia ya mbunge wa zamani yaandaa misa ya wafu kalembe ndile alifariki baada ya kuugua  atazikwa ijumaa,train
1018,haki kwa judy wanjiku  familia inalilia haki baada ya kifo cha binti yao mwezi februari  marehemu alisukumwa kutoka kwenye matatu na kufariki thika  dereva aliyehusishwa na tukio stanley macharia bado hajakamatwa,train
1019,mseto wa taarifa mauaji sokoni  polisi kisii wanamzuilia 'mama mboga' kwa tuhuma za mauaji  mshukiwa adaiwa kumdunga kisu na kumuua mwenzake kifuani kero ya chui  familia olepolos yakadiria hasara ya uvamizi wa chui usiku  chui aripotiwa kuua zaidi ya mbuzi za santau timbau,train
102,kapteni  kitu gani kinawazuia viongozi kupa umbele njia za kuzuia makali ya ukame  sasa hii umetoa wapi na hiyo kichwa yako tena utafanya njia ya kufanya nukuu zako kuwa haziwezi kugeuzwa hakuna anayesema nukuu za uongo kwa kutumia nembo yako,train
1020,ubomoaji wa makazi ngelani  nyumba zaidi ya zabomolewa kwenye ardhi ianayozozaniwa mavoko familia ya mary muli yazozania shamba la ekari kumi ngelani  machakos,train
1021,utepetevu hospitalini nanyuki familia ya halima hassan yasema alifariki kwa kukosa kuhudumiwa beatrice nyawira alifariki akisubiri kuongezewa damu hospitalini gavana wa laikipia nderitu muriithi asema uchunguzi umeanzishwa,train
1022,uhalifu mombasa  familia ya jamaa aliyeuawa siku mbili zilizopita mombasa inadai kutishwa jamaa huyo aliuawa katika barabara ya kuelekea uwanja wa ndege wa moi francis kinuthia ngige aliuliwa kwenye mzunguko wa changamwe,train
1023,risasi ya kisasi  familia yalilia haki kwa mauaji ya charles maina eneo la pipeline  maina alipigwa risasi na afisa wa polisi aliyefyatua risasi  polisi kitengela wamkamata muhudumu wa bodaboda kwa mauaji  anahusishwa na mauaji ya shantel nzembi mwenye miaka,train
1024,kilio cha familia familia ya mvuvi aliyeuawa ziwa viktoria yataka majibu victor nasonga adaiwa kuuawa na maafisa wa polisi uganda,train
