Key,Text,split
1,Birinyanya eyi zo kililiru ndeni angu driza ma alia.,train
2,Amvu ma angu eri sa'wa azini 'diyisi 'ba amvu 'yapi 'diyi dri ewaru.,train
3,Le 'ba ma fe 'ba amvu 'yapi 'diyini ava kawa 'yazu drile.,train
4,Kari Uganda niri eri asi'baza be amvu 'yaza ma dria.,train
5,Ori azi 'diyi odra te ituka ma akosi.,train
6,Ama ecoki ori okpo 'dika cu be saaru 'diyi esu ngua?,train
7,Le ola pati eyi ma aa o'du driasi sazaru ci.,train
8,Amvu 'da ma alea nyanya ori azo be 'diyi ci.,train
9,MI eco e'yo cu'a maku eyi ma dria ri niri esu geri ngosi?,train
10,Rediyo 'di fe amani angu amani ecozu ama ma tibi ini eyi ozizu.,train
11,Simu eyi ko ma aza onita esuzu aro ogbi osu eyi ma dria 'diyi ma dria.,train
12,"Imba ajerisi, ale ndra onita matunda ma dria.",train
13,Le 'ba ma fe 'ba amvu 'yapi 'diyini cu aje a'bua eyini ri 'ba dria dri.,train
14,Ba amvu 'yapi 'diyi le eyo oni amuti nyanya ori ala 'diyi be 'diyi ma dria.,train
15,Dukani ꞌba amvu ꞌyaꞌba ꞌdiyini fatalaiza pi jezu afa ori sazu onyiru ꞌdiyi be ꞌdiyi.,train
16,Otita amvu 'yaza ma dria radio ma alia 'diyi 'ba amvu 'yapi 'diyi dri onita fe geri afa ndundu ola sazu 'diyi esuzu.,train
17,Ola wura ndundu 'diyi eco zo angu 'da ma alea ni,train
18,"ꞌBa amvu ꞌyaꞌba ꞌdiyi ka oꞌduko azo efupi ꞌdiyini ꞌdiyi esu drioru, eri yi ma azako otita ꞌyezu kililiru.",train
19,ꞌBa amvu ꞌyaꞌba ꞌdiyi nga orodri esu angiri yi ka oꞌduko azo ma dri atriza ma dria raria.,train
20,"O'du alu driasi, 'ba amvu 'yapi 'diyi imbata esu kawa ezoza ma dria.",train
21,Embata fele angu mile ma driari eri orodriru ꞌba amvu ꞌyaꞌba ꞌdiyini yi ma azakozu otita kililiru ꞌyezu.,train
22,Okalamvu gamete niri fe imbata 'ba amvu 'yapi 'diyi dri ola sata ma dria.,train
23,Otita Lonyi eti otizani ꞌdiyi agrikica ma alia tre.,dev
24,Eri orodriru 'ba dria districtia ri ma amvu ni aa'zu ci.,train
25,"Eꞌyo azini orodriru ꞌyele Agrikicaa ꞌdiyi ma azi: ori esele cozu, amvu okuzu, afa ori ezaꞌba ꞌdiyi ma omgbo esizu azo yi be.",train
26,ꞌBa drileba fe ꞌba amvu ꞌyaꞌba ꞌdiyini zitaa ozizu eꞌyo ci yi bipi agrikica be ꞌdiyi ma dria.,train
27,Ba fe 'ba amvu 'yapi 'diyini imbata nyaka wura cu be saaru 'diyi ezozu.,train
28,Aro ogbiza 'bani eco ayu kaiko ogbizu 'diyi karakara.,train
29,Agirikica ma orodri 'ba amvu 'yapi omgbo were si 'diyini tre.,train
30,Nyaka wura ndundu 'diyi ma ezoza ni mu agupi 'da ma aza ko ni.,train
31,Ama e'yo amani ecozu ama nyaka eyi ma ta mbazu 'diyi eri Otita redio 'diyi ma alea.,train
32,"yi oꞌduko esu sawa ori sazuri ma dria, nyaku onyiru ori kililiruri sazuri pie azini geri ꞌbani ori ma tambazu sawa ꞌbani eri okuzu ꞌbori ma vutiari pie.",dev
33,E'yo pati efi ndima le 'diyi ma sata tualu tibi ini eyi pie 'diyi ma dria ri eri orodriru 'ba amvu 'yapi 'diyi dri.,train
34,Oꞌduko angu mile ma ojata dria ꞌdiyi azini amvu edezu ori sazu diyi pie,train
35,Otita E'yo aleza radioa 'diyi ma azi eyi e'yo nze cu ala 'ba amvu 'yapi 'diyi ma nyaka eyini 'diyi ma dria.,train
36,Otita amvu 'yaza ma dria avile redioa 'diyi 'ba amvu 'yapi 'diyi ma aza ko sa'wa ala ndeni ori sazu 'diyi nizu.,train
