Key,Text,split
1,Eggplants always grow best under warm conditions.,train
2,Farmland is sometimes a challenge to farmers.,train
3,Farmers should be encouraged to grow more coffee.,train
4,Uganda is focusing on farming.,train
5,Some plants die due to lack of sunlight.,train
6,Where can we get good resistant varieties that are highly marketable?,train
7,Cassava stems are always needed for planting.,train
8,The garden has diseased tomato plants.,train
9,How do you access market information for sweet potatoes?,train
10,The radio station has given us a platform to sell our vegetables.,train
11,Mobile phones have enabled me to get pesticide information for beans.,train
12,"Last month, I needed passion fruit information.",train
13,Market information for bananas should be given to all farmers.,train
14,Farmers need information on companies that have good seedlings for tomatoes.,train
15,Some of the shops where farmers can get fertilizers and good planting materials.,train
16,Farming programs on radio provide information on how to access cassava planting materials.,train
17,There are several cassava varieties that can grow in that area.,train
18,"When farmers get information about disease outbreaks early, it helps them to plan better.",train
19,Farmers can benefit a lot from advice on disease control.,train
20,"Every Monday, farmers are given advice on coffee growing.",train
21,Farmers need weather advice to help them plan better.,train
22,The ministry has provided advice to farmers on how to plant cassava.,train
23,There are a number of wealth creation programs around agriculture.,dev
24,It is advisable for everyone in the district to have a garden.,train
25,"Some of the important practices in agriculture: spacing, weeding, pest and disease control.",train
26,Farmers are given a platform to ask any agricultural related questions.,train
27,Farmers are advised to grow crop varieties with high demand.,train
28,There are several recommendable pesticides when spraying beans.,train
29,Agriculture has a lot of benefits for smallholder farmers.,train
30,The production of different crop varieties is what will help that man.,train
31,We acquire information on how to store our produce from radio broadcasts.,train
32,"They get information on, planting time, good crop agronomy and post-harvest practices.",dev
33,Information on how to grow citrus fruits and vegetables is very useful for farmers.,train
34,Information on weather forecasts and preparation of the garden for planting.,train
35,Some radio discussions highlight the good markets for farmers' produce.,train
36,Farming programs aired on radio help farmers to know the good planting seasons.,train
37,"Farmers gain knowledge on planting good seeds, and the diseases affecting their crops.",train
38,Certain organisations provide information to farmers on crop inputs and varieties via radio.,train
39,The birds have eaten all the maize cobs in that woman's garden.,train
40,This yellow leaf with a purple base is diseased.,train
41,The leaf has yellow linings and rust in the middle.,train
42,Maize leaf rust causes the tip of a leaf to dry.,train
43,Some of the diseased leaves have dried up.,train
44,Some of the yellow leaves on this plant are folded on one side.,train
45,One of the symptoms of maize leaf rust and maize blight is yellowing leaves.,train
46,The maize leaf is yellow however its colour tends to brown at the base.,test
47,The patches on the leaves is not a good sign for the crop.,train
48,The top part of the maize plant has been eaten by these loitering goats.,train
49,Termites have become a very big issue in this garden.,dev
50,Weeding is a good farming practice that everyone should know about.,train
51,The sorghum is good and healthy and this will give us better yields.,train
52,I think this plant is diseased because all its leaves are yellow.,train
53,We are most likely to have no yield from this plant.,train
54,Some of the groundnut plants have been eaten by termites.,train
55,Brown spots in the middle part of the affected leaves.,train
56,The affected leaf might have been due to bad weather.,train
57,The animals that loiter through the garden have damaged all the crops.,train
58,These diseased leaves are drying because they are being suppressed by the weeds.,train
59,The poor banana yields are as a result of maize leaf rust.,train
60,Stunted growth of the bananas is a result of weeds in the garden.,train
61,This damaged plant might have been eaten by the Fall armyworm.,train
62,The garden needs to be weeded because it is in a bushy environment.,train
63,The top shoot has been eaten by the Fall armyworm.,train
64,The maize is in a bushy garden and it has leaf rust.,train
65,The potato plant has both purple stripes and brown spots on the leaves.,train
66,This plant has yellow leaves with brown spots between the veins.,train
67,The tomato leaves are yellow and dry.,train
68,The leaves have pods because of the pests.,train
69,Normally the white spots on the maize leaves are brought about by the pests.,train
70,The maize leaves have been eaten by caterpillars.,test
71,The white spots on the Maize leaves are as a result of the Fall armyworm.,train
72,The cassava leaves have yellow stripes at the base.,train
73,One of the common deficiencies in orange plants is yellowing of the leaf tips.,train
74,The maize leaves are full of holes because they are being eaten by pests.,train
75,A farmer in Bukujju village showed us some of the diseased plants in his garden.,train
76,"In Kayunga district, most of the gardens have diseased maize plantations.",train
77,There are very many bean diseased plants in this area.,train
78,The brown colour on the coffee leaves is as a result of common rust.,train
79,Fall Armyworm is feeding on the maize leaf.,train
80,The presence of weeds in a garden causes the maizes leaves to turn into yellow.,train
81,This maize plant has rust because of the disease.,train
82,The grains of this maize plant are bigger in size which is not normal.,train
83,Maize Streak Disease makes the middle line on the leaf to turn yellow.,train
84,The goats have eaten the maize in the garden.,train
85,One of the symptoms of a plant affected by maize streak disease is yellow leaves.,train
86,The maize leaf has been eaten as a result of fall armyworm.,train
87,This plant has been affected by the maize disease because the leaf has a grey colour.,train
88,Maize has been affected by the Fall Army Worm.,train
89,The leaves of the plant have been affected by the disease.,dev
90,People with small lands can practice farming to earn a living.,train
91,The government encourages people to use good planting materials to get better yields.,train
92,Farmers have no market for maize.,train
93,You can increase your harvest in the following ways.,train
94,Beekeeping generates food and income.,train
95,The demand for rabbits has been increasing in recent days.,train
96,Farmers in Uganda face a lot of challenges associated with crop diseases and the weather.,train
97,An expert in agriculture and nutrition dominated the food awards.,train
98,Late spraying is the reason why the food we have now days is contaminated.,train
99,Can debt cancellation revive the economy?,train
100,Be cautious about how you spend your finances.,train
101,Exhibitions are one way of marketing a new product.,train
102,Leasing is also one way of putting to use idle assets.,train
103,There are quite many investment opportunities in the private sector.,train
104,Majority of the banks offer loans.,train
105,Schools now days focus on training students on how to run business.,train
106,Setting up industries can help to create jobs for many people Ugandans.,train
107,It will take a while for the country's economy to go back where it was.,train
108,The government now wants to examine all the transaction books of various companies.,train
109,Increasing the prices of goods can either make you profits or loses.,train
110,Pineapple farmers want industries where they can change their fruits into other products.,train
111,Experts say that business owners need to be knowledgeable in order to be successful.,train
112,Banks take people's property by force especially on failure to clear the loan.,train
113,Using mobile money to buy and sell goods has increased in the first half of this year.,train
114,You should learn how to transform your business after the lockdown.,train
115,Ugandan advises citizens to use money given to them to start businesses.,train
116,A big supermarket is closing all its branches.,train
117,The airport has been opened again for business.,train
118,The estate manager has been given two days to clear all his debtors.,train
119,Oil exports will bring in a lot of money for the country.,train
120,Financial institutions have to pay bonuses to people.,train
121,It is always good to determine the resale value of a used car.,train
122,Three banks have closed due to the pandemic.,train
123,I think they will retain the award come next year.,train
